<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAIL,60,20200716,190000,1809.0000000,1822.0000000,1806.6000000,1821.0000000,7977
MAIL,60,20200717,110000,1825.0000000,1834.6000000,1809.0000000,1829.8000000,16174
MAIL,60,20200717,120000,1829.8000000,1834.0000000,1825.8000000,1825.8000000,7130
MAIL,60,20200717,130000,1826.0000000,1838.2000000,1826.0000000,1838.0000000,11774
MAIL,60,20200717,140000,1837.4000000,1837.4000000,1831.0000000,1836.6000000,4342
MAIL,60,20200717,150000,1836.0000000,1837.8000000,1829.2000000,1833.0000000,2910
MAIL,60,20200717,160000,1832.8000000,1836.4000000,1832.2000000,1834.0000000,3288
MAIL,60,20200717,170000,1834.6000000,1840.0000000,1830.0000000,1839.0000000,10294
MAIL,60,20200717,180000,1839.0000000,1839.2000000,1823.4000000,1829.4000000,20153
MAIL,60,20200717,190000,1829.4000000,1830.0000000,1808.0000000,1827.0000000,25054
MAIL,60,20200720,110000,1827.0000000,1839.0000000,1811.0000000,1833.0000000,12841
MAIL,60,20200720,120000,1833.0000000,1841.0000000,1829.4000000,1840.0000000,12026
MAIL,60,20200720,130000,1840.8000000,1841.6000000,1835.2000000,1836.2000000,9351
MAIL,60,20200720,140000,1836.4000000,1840.8000000,1830.2000000,1831.8000000,12424
MAIL,60,20200720,150000,1831.8000000,1837.6000000,1827.4000000,1836.0000000,4672
MAIL,60,20200720,160000,1835.8000000,1836.0000000,1821.0000000,1825.0000000,12023
MAIL,60,20200720,170000,1825.0000000,1830.0000000,1820.0000000,1820.4000000,15880
MAIL,60,20200720,180000,1820.2000000,1824.2000000,1810.2000000,1817.0000000,21534
MAIL,60,20200720,190000,1815.8000000,1822.2000000,1815.0000000,1822.0000000,2617
MAIL,60,20200721,110000,1830.0000000,1878.0000000,1830.0000000,1875.2000000,64639
MAIL,60,20200721,120000,1875.6000000,1878.6000000,1863.2000000,1865.0000000,26316
MAIL,60,20200721,130000,1865.0000000,1871.6000000,1861.0000000,1863.8000000,23326
MAIL,60,20200721,140000,1863.0000000,1866.2000000,1860.0000000,1865.0000000,6722
MAIL,60,20200721,150000,1863.8000000,1870.0000000,1860.2000000,1870.0000000,7394
MAIL,60,20200721,160000,1870.0000000,1872.8000000,1865.0000000,1869.6000000,8594
MAIL,60,20200721,170000,1871.4000000,1873.6000000,1862.0000000,1863.2000000,10291
MAIL,60,20200721,180000,1865.2000000,1867.2000000,1853.6000000,1853.6000000,12807
MAIL,60,20200721,190000,1853.8000000,1856.2000000,1845.6000000,1851.2000000,8882
